path,session,gender,identity,expression,angle
raw-data/KDEF/BM20/BM20SUS.JPG,B,M,20,SU,S
raw-data/KDEF/BM20/BM20SUHR.JPG,B,M,20,SU,HR
raw-data/KDEF/BM20/BM20DIFR.JPG,B,M,20,DI,FR
raw-data/KDEF/BM20/BM20HAFL.JPG,B,M,20,HA,FL
raw-data/KDEF/BM20/BM20DIHL.JPG,B,M,20,DI,HL
raw-data/KDEF/BM20/BM20HAHR.JPG,B,M,20,HA,HR
raw-data/KDEF/BM20/BM20HAS.JPG,B,M,20,HA,S
raw-data/KDEF/BM20/BM20SUFL.JPG,B,M,20,SU,FL
raw-data/KDEF/BM20/BM20SAS.JPG,B,M,20,SA,S
raw-data/KDEF/BM20/BM20NEFL.JPG,B,M,20,NE,FL
raw-data/KDEF/BM20/BM20SAFR.JPG,B,M,20,SA,FR
raw-data/KDEF/BM20/BM20ANS.JPG,B,M,20,AN,S
raw-data/KDEF/BM20/BM20DIS.JPG,B,M,20,DI,S
raw-data/KDEF/BM20/BM20SAHL.JPG,B,M,20,SA,HL
raw-data/KDEF/BM20/BM20NEHR.JPG,B,M,20,NE,HR
raw-data/KDEF/BM20/BM20AFFR.JPG,B,M,20,AF,FR
raw-data/KDEF/BM20/BM20ANFL.JPG,B,M,20,AN,FL
raw-data/KDEF/BM20/BM20ANHR.JPG,B,M,20,AN,HR
raw-data/KDEF/BM20/BM20AFHL.JPG,B,M,20,AF,HL
raw-data/KDEF/BM20/BM20NES.JPG,B,M,20,NE,S
raw-data/KDEF/BM20/BM20NEFR.JPG,B,M,20,NE,FR
raw-data/KDEF/BM20/BM20SAFL.JPG,B,M,20,SA,FL
raw-data/KDEF/BM20/BM20SAHR.JPG,B,M,20,SA,HR
raw-data/KDEF/BM20/BM20NEHL.JPG,B,M,20,NE,HL
raw-data/KDEF/BM20/BM20AFFL.JPG,B,M,20,AF,FL
raw-data/KDEF/BM20/BM20ANFR.JPG,B,M,20,AN,FR
raw-data/KDEF/BM20/BM20ANHL.JPG,B,M,20,AN,HL
raw-data/KDEF/BM20/BM20AFHR.JPG,B,M,20,AF,HR
raw-data/KDEF/BM20/BM20AFS.JPG,B,M,20,AF,S
raw-data/KDEF/BM20/BM20SUHL.JPG,B,M,20,SU,HL
raw-data/KDEF/BM20/BM20DIFL.JPG,B,M,20,DI,FL
raw-data/KDEF/BM20/BM20HAFR.JPG,B,M,20,HA,FR
raw-data/KDEF/BM20/BM20DIHR.JPG,B,M,20,DI,HR
raw-data/KDEF/BM20/BM20HAHL.JPG,B,M,20,HA,HL
raw-data/KDEF/BM20/BM20SUFR.JPG,B,M,20,SU,FR
raw-data/KDEF/AM07/AM07SUHL.JPG,A,M,07,SU,HL
raw-data/KDEF/AM07/AM07ANS.JPG,A,M,07,AN,S
raw-data/KDEF/AM07/AM07DIS.JPG,A,M,07,DI,S
raw-data/KDEF/AM07/AM07HAFR.JPG,A,M,07,HA,FR
raw-data/KDEF/AM07/AM07DIFL.JPG,A,M,07,DI,FL
raw-data/KDEF/AM07/AM07HAHL.JPG,A,M,07,HA,HL
raw-data/KDEF/AM07/AM07DIHR.JPG,A,M,07,DI,HR
raw-data/KDEF/AM07/AM07SUFR.JPG,A,M,07,SU,FR
raw-data/KDEF/AM07/AM07NEFR.JPG,A,M,07,NE,FR
raw-data/KDEF/AM07/AM07SAFL.JPG,A,M,07,SA,FL
raw-data/KDEF/AM07/AM07HAS.JPG,A,M,07,HA,S
raw-data/KDEF/AM07/AM07SAHR.JPG,A,M,07,SA,HR
raw-data/KDEF/AM07/AM07NEHL.JPG,A,M,07,NE,HL
raw-data/KDEF/AM07/AM07SAS.JPG,A,M,07,SA,S
raw-data/KDEF/AM07/AM07SUS.JPG,A,M,07,SU,S
raw-data/KDEF/AM07/AM07AFFL.JPG,A,M,07,AF,FL
raw-data/KDEF/AM07/AM07ANFR.JPG,A,M,07,AN,FR
raw-data/KDEF/AM07/AM07ANHL.JPG,A,M,07,AN,HL
